brand,model,year,mileage,fuel_type,price
0,i20,2020,30000,0,600000
0,i20,2018,50000,0,450000
1,Swift,2021,15000,0,700000
1,Swift,2017,60000,0,350000
2,Innova,2019,45000,1,1800000
2,Innova,2022,10000,1,2500000
3,City,2016,70000,0,500000
3,City,2021,20000,0,1200000
4,Nexon,2020,35000,0,900000
4,Nexon,2022,5000,2,1400000
0,Creta,2021,25000,1,1500000
0,Creta,2019,40000,0,1100000
1,Baleno,2020,30000,0,650000
1,Baleno,2018,55000,0,450000
2,Fortuner,2020,40000,1,3500000
2,Fortuner,2018,65000,1,2800000
3,Civic,2019,30000,0,1600000
4,Safari,2021,25000,1,1800000
4,Tiago,2020,20000,0,500000
0,Verna,2021,15000,0,1200000
